,Criminal Offenses - On-campus Student Housing Facilities,,,,,,,,,,,,,,,
53,2008,199102,North Carolina A & T State University,1,North Carolina A&T State University,10388,0,0,0,0,1,1,27,0,3,32
54,2008,199157,North Carolina Central University,1,North Carolina Central University,8035,0,0,0,0,3,3,12,0,0,18
55,2008,199193,North Carolina State University at Raleigh,1,Main Campus,32872,0,0,3,0,1,2,16,0,0,22
56,2008,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3629,0,0,0,0,1,1,3,0,0,5
57,2008,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,28567,0,0,3,0,0,1,5,0,0,9
58,2008,199139,University of North Carolina at Charlotte,1,Main Campus,23300,0,0,2,0,0,1,34,0,1,38
59,2008,199148,University of North Carolina at Greensboro,1,Main Campus,19976,0,0,0,0,0,0,19,0,1,20
60,2008,199281,University of North Carolina at Pembroke,1,Main Campus,6303,0,0,0,0,0,0,11,0,0,11
61,2008,199184,University of North Carolina School of the Arts,1,Main Campus,879,0,0,0,0,0,0,1,0,0,1
62,2008,199218,University of North Carolina Wilmington,1,Main Campus,12643,0,0,1,0,0,1,39,0,0,41
63,2008,200004,Western Carolina University,1,Main Campus,9050,0,0,1,0,0,2,19,0,0,22
64,2008,199999,Winston-Salem State University,1,WSSU Main Campus,6442,0,0,0,0,0,0,10,0,0,10
65,2009,197869,Appalachian State University,1,Main Campus,16968,0,0,4,0,0,0,11,0,0,15
66,2009,198464,East Carolina University,1,East Carolina University,27654,0,0,9,0,0,1,8,0,0,18
67,2009,198507,Elizabeth City State University,1,Elizabeth City State University,3264,0,0,0,0,1,1,22,0,0,24
68,2009,198543,Fayetteville State University,1,Fayetteville State University,6283,0,0,0,0,1,0,43,0,0,44
69,2009,199102,North Carolina A & T State University,1,North Carolina A&T State University,10614,0,0,0,0,0,1,8,0,1,10
70,2009,199157,North Carolina Central University,1,North Carolina Central University,8587,0,0,2,0,0,1,22,0,0,25
71,2009,199193,North Carolina State University at Raleigh,1,Main Campus,33819,0,0,2,0,1,2,7,0,1,13
72,2009,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3897,0,0,3,0,0,1,12,0,0,16
73,2009,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,28916,0,0,4,0,2,0,2,0,0,8
74,2009,199139,University of North Carolina at Charlotte,1,Main Campus,24701,0,0,4,1,0,1,35,0,2,43
75,2009,199148,University of North Carolina at Greensboro,1,Main Campus,21306,0,0,0,0,0,0,11,0,0,11
76,2009,199281,University of North Carolina at Pembroke,1,Main Campus,6661,0,0,0,2,0,1,15,0,0,18
77,2009,199184,University of North Carolina School of the Arts,1,Main Campus,872,0,0,1,0,0,0,2,0,0,3
78,2009,199218,University of North Carolina Wilmington,1,Main Campus,12924,0,0,2,0,0,0,20,0,0,22
79,2009,200004,Western Carolina University,1,Main Campus,9429,0,0,1,0,0,1,26,0,0,28
80,2009,199999,Winston-Salem State University,1,WSSU Main Campus,6427,0,0,0,0,0,1,3,0,0,4
81,2010,197869,Appalachian State University,1,Main Campus,17222,0,0,2,0,0,0,9,0,1,12
82,2010,198464,East Carolina University,1,East Carolina University,27783,0,0,3,0,3,0,6,0,1,13
83,2010,198507,Elizabeth City State University,1,Elizabeth City State University,3307,0,0,0,0,5,1,1,0,0,7
84,2010,198543,Fayetteville State University,1,Fayetteville State University,5781,0,0,3,0,0,1,24,0,0,28
85,2010,199102,North Carolina A & T State University,1,North Carolina A&T State University,10795,0,0,1,0,1,0,4,0,0,6
86,2010,199157,North Carolina Central University,1,North Carolina Central University,8645,0,0,2,0,0,1,10,0,0,13
87,2010,199193,North Carolina State University at Raleigh,1,Main Campus,34376,0,0,5,0,0,3,15,0,0,23
88,2010,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3967,0,0,3,0,0,1,13,0,1,18
89,2010,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29390,0,0,14,0,0,0,7,0,0,21
90,2010,199139,University of North Carolina at Charlotte,1,Main Campus,25063,0,0,1,0,0,1,45,0,3,50
91,2010,199148,University of North Carolina at Greensboro,1,Main Campus,18771,0,0,0,0,0,0,13,0,0,13
92,2010,199281,University of North Carolina at Pembroke,1,Main Campus,6944,0,0,0,0,0,0,29,0,0,29
93,2010,199184,University of North Carolina School of the Arts,1,Main Campus,872,0,0,0,0,0,0,3,0,0,3
94,2010,199218,University of North Carolina Wilmington,1,Main Campus,13071,0,0,2,0,0,0,11,0,0,13
95,2010,200004,Western Carolina University,1,Main Campus,9407,0,0,5,0,0,0,27,0,0,32
96,2010,199999,Winston-Salem State University,1,WSSU Main Campus,6333,0,0,0,0,1,0,4,0,0,5
97,2011,197869,Appalachian State University,1,Main Campus,17344,0,0,4,0,0,0,1,0,0,5
98,2011,198464,East Carolina University,1,East Carolina University,27386,0,0,7,0,0,1,11,0,0,19
99,2011,198507,Elizabeth City State University,1,Elizabeth City State University,2930,0,0,1,0,1,6,18,0,0,26
100,2011,198543,Fayetteville State University,1,Fayetteville State University,5930,0,0,0,0,3,0,36,0,0,39
101,2011,199102,North Carolina A & T State University,1,North Carolina A&T State University,10881,0,0,3,0,0,2,4,0,0,9
102,2011,199157,North Carolina Central University,1,North Carolina Central University,8359,0,0,1,0,1,2,29,0,0,33
103,2011,199193,North Carolina State University at Raleigh,1,Main Campus,34767,0,0,7,0,5,5,18,0,0,35
104,2011,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3863,0,0,3,0,0,0,9,0,0,12
105,2011,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29137,0,0,9,0,1,0,22,0,0,32
106,2011,199139,University of North Carolina at Charlotte,1,Main Campus,25277,0,0,2,0,1,1,32,0,0,36
107,2011,199148,University of North Carolina at Greensboro,1,Main Campus,18627,0,0,0,0,0,0,6,0,0,6
108,2011,199281,University of North Carolina at Pembroke,1,Main Campus,6251,0,0,1,0,1,1,14,0,0,17
109,2011,199184,University of North Carolina School of the Arts,1,Main Campus,893,0,0,2,0,0,0,0,0,0,2
110,2011,199218,University of North Carolina Wilmington,1,Main Campus,13145,0,0,3,0,0,0,11,0,0,14
111,2011,200004,Western Carolina University,1,Main Campus,9352,0,0,3,0,0,0,20,0,0,23
112,2011,199999,Winston-Salem State University,1,WSSU Main Campus,6163,0,0,0,0,1,1,7,0,0,9
113,2012,197869,Appalachian State University,1,Main Campus,17589,0,0,7,0,0,0,14,0,2,23
114,2012,198464,East Carolina University,1,East Carolina University,26947,0,0,10,0,0,0,5,0,0,15
115,2012,198507,Elizabeth City State University,1,Elizabeth City State University,2878,0,0,1,0,1,0,14,0,0,16
116,2012,198543,Fayetteville State University,1,Fayetteville State University,6060,0,0,2,1,0,1,32,0,0,36
117,2012,199102,North Carolina A & T State University,1,North Carolina A&T State University,10636,0,0,2,0,0,0,7,0,1,10
118,2012,199157,North Carolina Central University,1,North Carolina Central University,8604,0,0,4,0,0,0,18,0,1,23
119,2012,199193,North Carolina State University at Raleigh,1,Main Campus,34340,0,0,1,0,3,3,21,0,0,28
120,2012,199111,University of North Carolina at Asheville,1,UNIVERISTY OF NORTH CAROLINA ASHEVILLE,3751,0,0,3,0,0,0,2,0,1,6
121,2012,199120,University of North Carolina at Chapel Hill,1,The University of North Carolina at Chapel Hill,29278,0,0,12,0,0,1,6,0,0,19
122,2012,199139,University of North Carolina at Charlotte,1,Main Campus,26232,0,0,4,0,0,2,34,0,0,40
123,2012,199148,University of North Carolina at Greensboro,1,Main Campus,18516,0,0,0,0,1,0,5,0,0,6
124,2012,199281,University of North Carolina at Pembroke,1,Main Campus,6269,0,0,3,0,0,0,10,0,0,13
125,2012,199184,University of North Carolina School of the Arts,1,Main Campus,880,0,0,0,0,0,0,4,0,1,5
126,2012,199218,University of North Carolina Wilmington,1,Main Campus,13733,0,0,3,0,0,1,8,0,0,12
127,2012,200004,Western Carolina University,1,Main Campus,9608,0,0,4,0,0,0,9,0,0,13
128,2012,199999,Winston-Salem State University,1,WSSU Main Campus,5689,0,0,1,0,1,1,4,0,0,7
